TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
8.962902494,2.70088,0.000499224,0,0.0190403,0.0779033,3.37384,0.0644521,0.698543,0.0171661,0.153526,0.308316,1.60561e-05
9.009342404,2.60661,0,0,0.028078,0.0634972,3.527,0.0539194,0.777361,0.0437725,0.115284,0.200473,5.97272e-05
9.055782313,2.31965,0,0.000915781,0.0395766,0.182654,3.71173,0.0357177,0.78042,0.0819796,0.00273583,0.142175,8.56365e-05
9.102222222,2.24955,0.00221094,0.000684801,0.0706564,0.210001,3.80337,0.0376108,0.745012,0.105761,0.00216761,0.0707919,0.0444905
9.148662132,2.30787,0.0213817,0,0.0996805,0.191019,3.64079,0.0360538,0.70612,0.111505,0.00196922,0.25912,0.0393304
9.195102041,2.35198,0.026989,0,0.110644,0.146617,3.34627,0.0321578,0.708356,0.174162,0.00200405,0.353283,6.84273e-05
9.241541950,2.34603,0.0229515,0,0.191735,0.161671,3.03482,0.0331111,0.67043,0.263362,0.450759,0.208704,0
9.287981859,2.27763,0.00160979,0,0.219903,0.175816,2.70745,0.0287864,0.549052,0.337466,1.38937,0.181249,0
9.334421769,2.23014,0.00165241,0,0.254835,0.151283,2.87027,0.0255337,0.433911,0.272785,1.87979,0.194283,0.0827768
9.380861678,1.99043,0.000665367,0,0.320404,0.159148,3.23532,0.0278387,0.585968,0.150676,2.17722,0.203733,0
9.427301587,1.69389,0,0,0.255743,0.207505,3.40491,0.0448738,0.650627,0.0389837,2.23133,0.485098,0
9.473741497,1.659,0,0,0.20694,0.243403,3.38381,0.0235762,0.641946,0.0369608,2.33379,0.406852,0
9.520181406,1.67843,0.154296,0.00044095,0.182426,0.309926,3.58999,0.0288853,0.604523,0.0958916,2.49488,0.0552296,0.063578
9.566621315,1.81234,0.193847,0.00140455,0.097726,0.382033,3.63457,0,0.56497,0.153633,2.40982,0.0100233,0.102288
9.613061224,1.86976,0.0873858,0.00306918,0.179365,0.386245,3.52869,0.00909445,0.56461,0.137913,2.30102,0.0669141,0.0858719
9.659501134,1.89797,0.0178296,0.00307376,0.0340946,0.4425,3.37731,0.0231171,0.544222,0.107459,2.13147,0.291517,0.0629092
9.705941043,1.91748,0,0.00109675,0.0235214,0.457604,3.39892,0.0277232,0.521916,0.0976994,2.11507,0.355103,0.0458164
